img_id,plan,steps,before_ink,after_ink
81763,denoise,denoise,0.2152,0.2110
81771,denoise,denoise,0.2487,0.2298
82178,invert,invert,0.8297,0.1703
268314,denoise,denoise,0.3787,0.3728
268315,crop,crop_t16b16l0r0+denoise,0.2491,0.1229
82740,invert,invert+denoise,0.7499,0.2497
82753,denoise,denoise,0.1929,0.1846
268629,denoise,denoise,0.2298,0.2223
83215,denoise,denoise,0.1285,0.1226
268674,crop,crop_t0b0l19r19+denoise,0.2962,0.1469
83461,denoise,denoise,0.2275,0.2221
82910,invert,invert+denoise,0.6386,0.3612
82950,denoise,denoise,0.2020,0.1875
83051,denoise,denoise,0.1701,0.1634
83474,invert,invert+denoise,0.8154,0.1844
83828,denoise,denoise,0.1530,0.1492
83897,invert,invert+denoise,0.7417,0.2526
84348,crop,crop_t45b45l0r0,0.4596,0.1081
84440,denoise,denoise,0.2103,0.2010
83934,invert,invert+denoise,0.5729,0.4269
84519,invert,invert+denoise,0.5647,0.4230
84615,denoise,denoise,0.2448,0.2349
84647,denoise,denoise,0.1464,0.1337
84748,denoise,denoise,0.1549,0.1495
84833,denoise,denoise,0.3972,0.3886
86721,denoise,denoise,0.2285,0.2193
87066,denoise,denoise,0.1149,0.1070
87260,denoise,denoise,0.3488,0.3458
87433,denoise,denoise,0.1409,0.1362
87555,denoise,denoise,0.3831,0.3684
87850,denoise,denoise,0.3070,0.2968
88100,denoise,denoise,0.1621,0.1567
89180,invert,invert+denoise,0.5860,0.4139
89333,invert,invert+denoise,0.5860,0.4139
89378,invert,invert+denoise,0.5992,0.4006
89410,invert,invert+denoise,0.5992,0.4006
89047,denoise,denoise,0.1875,0.1823
89658,denoise,denoise,0.1261,0.1228
90382,invert,invert+denoise,0.7188,0.2810
90432,denoise,denoise,0.1611,0.1448
90488,denoise,denoise,0.2293,0.2201
269317,crop,crop_t25b25l0r0+denoise,0.3167,0.1190
84979,invert,invert+denoise,0.6485,0.3503
85040,denoise,denoise,0.1530,0.1492
85230,denoise,denoise,0.1841,0.1765
85618,denoise,denoise,0.2326,0.2259
85821,denoise,denoise,0.4574,0.4456
85853,denoise,denoise,0.1702,0.1552
85869,crop,crop_t0b0l21r20+denoise,0.2937,0.1335
269733,crop,crop_t0b0l22r23+denoise,0.3329,0.1568
269763,crop,crop_t16b15l0r0+denoise,0.2468,0.1241
86067,denoise,denoise,0.1565,0.1495
86364,invert,invert+denoise,0.6604,0.3394
86389,invert,invert,0.6977,0.3023
269940,crop,crop_t0b0l29r31+denoise,0.3884,0.1517
269995,denoise,denoise,0.2706,0.2596
86622,denoise,denoise,0.2702,0.2567
98255,crop,crop_t0b0l33r34+denoise,0.3522,0.0899
98256,crop,crop_t0b0l32r32+denoise,0.3405,0.0899
98328,denoise,denoise,0.2842,0.2808
98391,denoise,denoise,0.3143,0.3007
98930,denoise,denoise,0.1904,0.1857
98955,denoise,denoise,0.1635,0.1512
98970,denoise,denoise,0.1628,0.1550
98982,denoise,denoise,0.1971,0.1932
93502,invert,invert+denoise,0.7030,0.2965
93074,denoise,denoise,0.2616,0.2576
93112,crop,crop_t0b0l19r19+denoise,0.2807,0.1307
94402,denoise,denoise,0.2564,0.2424
94503,denoise,denoise,0.1932,0.1878
93645,denoise,denoise,0.1548,0.1488
93799,denoise,denoise,0.2769,0.2723
93947,invert,invert,0.5945,0.4055
92214,denoise,denoise,0.3107,0.3032
272489,crop,crop_t17b16l0r0+denoise,0.3283,0.1972
92745,invert,invert+denoise,0.6972,0.3023
92910,denoise,denoise,0.2922,0.2872
92923,denoise,denoise,0.1939,0.1874
92929,invert,invert+denoise,0.6645,0.3350
93423,denoise,denoise,0.1864,0.1811
93426,denoise,denoise,0.1895,0.1832
90724,invert,invert+denoise,0.8048,0.1948
90909,denoise,denoise,0.2749,0.2679
91235,denoise,denoise,0.2242,0.2177
